Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
December 30 2012,Indianapolis Colts,Houston Texans,Referee,16,9,64,28,3,24
September 8 2013,St. Louis Rams,Arizona Cardinals,Referee,24,6,68,27,7,59
September 15 2013,Indianapolis Colts,Miami Dolphins,Referee,24,0,0,20,3,13
September 22 2013,Cincinnati Bengals,Green Bay Packers,Referee,30,4,55,34,5,43
September 29 2013,Minnesota Vikings,Pittsburgh Steelers,Referee,27,4,50,34,5,89
October 13 2013,Tampa Bay Buccaneers,Philadelphia Eagles,Referee,31,3,31,20,8,72
October 20 2013,Washington Redskins,Chicago Bears,Referee,41,5,30,45,5,47
October 27 2013,Kansas City Chiefs,Cleveland Browns,Referee,17,9,70,23,5,31
November 3 2013,New York Jets,New Orleans Saints,Referee,20,9,59,26,8,62
November 18 2013,Carolina Panthers,New England Patriots,Referee,20,5,50,24,7,47
November 24 2013,Detroit Lions,Tampa Bay Buccaneers,Referee,24,9,67,21,5,39
November 28 2013,Baltimore Ravens,Pittsburgh Steelers,Referee,20,4,51,22,9,55
December 8 2013,San Francisco 49ers,Seattle Seahawks,Referee,17,9,85,19,7,70
December 15 2013,Oakland Raiders,Kansas City Chiefs,Referee,56,8,91,31,10,90
December 22 2013,Buffalo Bills,Miami Dolphins,Referee,0,6,37,19,4,31
December 29 2013,Chicago Bears,Green Bay Packers,Referee,33,1,15,28,5,40
January 12 2014,Denver Broncos,San Diego Chargers,Referee,17,8,63,24,6,50
September 8 2014,Detroit Lions,New York Giants,Referee,14,4,25,35,8,85
September 14 2014,Buffalo Bills,Miami Dolphins,Referee,10,3,20,29,6,40
September 21 2014,St. Louis Rams,Dallas Cowboys,Referee,34,3,15,31,8,119
September 28 2014,San Diego Chargers,Jacksonville Jaguars,Referee,14,3,32,33,7,57
October 12 2014,Philadelphia Eagles,New York Giants,Referee,0,10,75,27,3,25
October 19 2014,Oakland Raiders,Arizona Cardinals,Referee,24,6,43,13,8,74
October 26 2014,Cincinnati Bengals,Baltimore Ravens,Referee,24,7,51,27,6,40
October 30 2014,Carolina Panthers,New Orleans Saints,Referee,28,4,36,10,6,67
November 9 2014,Tampa Bay Buccaneers,Atlanta Falcons,Referee,27,5,30,17,10,79
November 23 2014,Minnesota Vikings,Green Bay Packers,Referee,24,8,75,21,7,77
November 27 2014,Dallas Cowboys,Philadelphia Eagles,Referee,33,4,20,10,6,42
December 7 2014,Cleveland Browns,Indianapolis Colts,Referee,25,6,40,24,7,85
December 14 2014,Atlanta Falcons,Pittsburgh Steelers,Referee,27,3,34,20,3,25
December 18 2014,Jacksonville Jaguars,Tennessee Titans,Referee,13,7,47,21,3,25
December 28 2014,Denver Broncos,Oakland Raiders,Referee,14,9,86,47,1,16
January 3 2015,Pittsburgh Steelers,Baltimore Ravens,Referee,30,2,14,17,8,114
September 13 2015,San Diego Chargers,Detroit Lions,Referee,28,4,29,33,5,40
September 20 2015,Carolina Panthers,Houston Texans,Referee,17,10,70,24,10,92
September 27 2015,Cleveland Browns,Oakland Raiders,Referee,27,12,85,20,6,50
October 1 2015,Pittsburgh Steelers,Baltimore Ravens,Referee,23,4,30,20,4,20
October 11 2015,Dallas Cowboys,New England Patriots,Referee,30,9,65,6,7,50
October 18 2015,Buffalo Bills,Cincinnati Bengals,Referee,34,3,20,21,8,93
November 1 2015,Houston Texans,Tennessee Titans,Referee,6,6,45,20,7,85
November 8 2015,Tampa Bay Buccaneers,New York Giants,Referee,32,6,49,18,9,79
November 15 2015,Seattle Seahawks,Arizona Cardinals,Referee,39,9,66,32,14,131
November 22 2015,Detroit Lions,Oakland Raiders,Referee,13,6,31,18,7,55
November 29 2015,Atlanta Falcons,Minnesota Vikings,Referee,20,9,53,10,6,78
December 13 2015,Tampa Bay Buccaneers,New Orleans Saints,Referee,24,12,95,17,8,80
December 20 2015,Washington Redskins,Buffalo Bills,Referee,25,8,56,35,5,6
December 27 2015,New York Jets,New England Patriots,Referee,20,1,7,26,6,39
January 3 2016,Indianapolis Colts,Tennessee Titans,Referee,24,6,60,30,6,71
January 16 2016,Arizona Cardinals,Green Bay Packers,Referee,20,8,55,26,3,26
February 7 2016,Denver Broncos,Carolina Panthers,Referee,10,12,102,24,6,51
September 11 2016,New York Jets,Cincinnati Bengals,Referee,23,5,44,22,7,95
