"GameDate","Quarter","Minute","Second","OffenseTeam","DefenseTeam","Down","ToGo","YardLine","Yards","Formation","PlayType","IsIncomplete","IsTouchdown","IsSack","IsInterception","IsFumble","IsTwoPointConversion","IsTwoPointConversionSuccessful","YardLineFixed","YardLineDirection","PenaltyTeam","IsNoPlay","PenaltyType","PenaltyYards","Referee"
2015-10-26,"4","2","32","ARI","BAL","2","10","44","0","UNDER CENTER","PASS","1","0","0","0","0","0","0","44","OWN","ARI","0","INTENTIONAL GROUNDING","12","Ronald Torbert"
2015-10-26,"4","4","40","ARI","BAL","4","9","30","0","UNDER CENTER","PUNT","0","0","0","0","0","0","0","30","OWN","ARI","0","OFFENSIVE HOLDING","0","Ronald Torbert"
2015-10-26,"2","2","12","ARI","BAL","2","12","86","0","SHOTGUN","PASS","1","0","0","0","0","0","0","14","OPP","BAL","1","DEFENSIVE PASS INTERFERENCE","11","Ronald Torbert"
2015-10-26,"4","3","1","ARI","BAL","1","10","26","8","UNDER CENTER","RUSH","0","0","0","0","0","0","0","26","OWN","ARI","1","OFFENSIVE HOLDING","10","Ronald Torbert"
2015-10-26,"2","2","0","ARI","BAL","2","1","99","0","UNDER CENTER","PASS","1","0","0","0","0","0","0","1","OPP","BAL","1","DEFENSIVE PASS INTERFERENCE","0","Ronald Torbert"
2015-10-26,"2","8","58","ARI","BAL","4","3","23","0","PUNT","PUNT","0","0","0","0","0","0","0","23","OWN","BAL","0","ILLEGAL BLOCK ABOVE THE WAIST","10","Ronald Torbert"
2015-10-26,"1","3","17","BAL","ARI","3","1","29","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","29","OWN","BAL","1","FALSE START","5","Ronald Torbert"
2015-10-26,"1","8","38","BAL","ARI","1","10","87","6","UNDER CENTER","PASS","0","0","0","0","0","0","0","13","OPP","BAL","1","ILLEGAL FORMATION","5","Ronald Torbert"
2015-10-26,"1","9","4","BAL","ARI","2","9","68","6","UNDER CENTER","PASS","0","0","0","0","0","0","0","32","OPP","ARI","0","UNNECESSARY ROUGHNESS","13","Ronald Torbert"
2015-10-26,"2","3","1","ARI","BAL","4","1","29","0","PUNT","PUNT","0","0","0","0","1","0","0","29","OWN","BAL","0","UNNECESSARY ROUGHNESS","13","Ronald Torbert"
2015-10-26,"4","4","26","BAL","ARI","0","0","98","0","UNDER CENTER","NO PLAY","0","0","0","0","0","0","0","2","OPP","BAL","1","FALSE START","5","Ronald Torbert"
2015-10-26,"2","13","37","BAL","ARI","1","10","77","1","UNDER CENTER","RUSH","0","0","0","0","0","0","0","23","OPP","BAL","1","OFFENSIVE HOLDING","10","Ronald Torbert"
2015-10-26,"4","0","18","BAL","ARI","2","4","96","0","SHOTGUN","PASS","0","0","0","0","0","0","0","4","OPP","BAL","1","ILLEGAL SHIFT","5","Ronald Torbert"
2016-09-25,"4","8","15","BUF","ARI","3","20","60","-7","SHOTGUN","SACK","0","0","1","0","0","0","0","40","OPP","BUF","0","OFFENSIVE HOLDING","0","Walt Anderson"
2016-09-25,"2","6","36","ARI","BUF","1","10","44","7","UNDER CENTER","PASS","0","0","0","0","0","0","0","44","OWN","ARI","1","ILLEGAL FORMATION","5","Walt Anderson"
2016-09-25,"4","6","30","BUF","ARI","1","10","70","-3","UNDER CENTER","RUSH","0","0","0","0","0","0","0","30","OPP","BUF","1","OFFENSIVE HOLDING","10","Walt Anderson"
2016-09-25,"3","2","49","ARI","BUF","4","1","93","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","7","OPP","ARI","1","DELAY OF GAME","5","Walt Anderson"
2016-09-25,"1","1","39","BUF","ARI","1","10","62","9","NO HUDDLE SHOTGUN","PASS","0","0","0","0","0","0","0","38","OPP","BUF","1","ILLEGAL TOUCH PASS","0","Walt Anderson"
2016-09-25,"4","12","27","ARI","BUF","1","10","72","8","UNDER CENTER","RUSH","0","0","0","0","0","0","0","28","OPP","ARI","1","OFFENSIVE HOLDING","10","Walt Anderson"
2016-09-25,"1","1","13","BUF","ARI","2","20","52","24","SHOTGUN","PASS","0","0","0","0","0","0","0","48","OPP","ARI","0","DEFENSIVE HOLDING","0","Walt Anderson"
2016-09-25,"4","15","0","BUF","ARI","2","18","23","10","SHOTGUN","RUSH","0","0","0","0","0","0","0","23","OWN","BUF","0","OFFENSIVE HOLDING","10","Walt Anderson"
2016-09-25,"2","13","25","ARI","BUF","4","10","10","0","PUNT","PUNT","0","0","0","0","0","0","0","10","OWN","ARI","0","ILLEGAL TOUCH KICK","5","Walt Anderson"
2016-09-25,"3","4","38","ARI","BUF","2","6","88","0","SHOTGUN","NO PLAY","0","0","0","0","0","0","0","12","OPP","BUF","1","NEUTRAL ZONE INFRACTION","5","Walt Anderson"
2016-09-25,"2","7","35","ARI","BUF","3","4","43","7","SHOTGUN","PASS","0","0","0","0","0","0","0","43","OWN","ARI","1","OFFENSIVE PASS INTERFERENCE","10","Walt Anderson"
2016-09-25,"2","15","0","BUF","ARI","1","10","61","0","SHOTGUN","PASS","1","0","0","0","0","0","0","39","OPP","BUF","1","ILLEGAL USE OF HANDS","10","Walt Anderson"
2016-09-25,"3","1","59","ARI","BUF","2","3","24","7","NO HUDDLE SHOTGUN","PASS","0","0","0","0","0","0","0","24","OWN","BUF","0","DEFENSIVE PASS INTERFERENCE","0","Walt Anderson"
2016-09-25,"4","12","32","ARI","BUF","1","10","67","0","NO HUDDLE SHOTGUN","PASS","1","0","0","0","0","0","0","33","OPP","BUF","1","DEFENSIVE PASS INTERFERENCE","5","Walt Anderson"
