YardLine,PenaltyTeam,PenaltyType,Referee,TeamType
61,CHI,DEFENSIVE 12 ON-FIELD,Jerome Boger,Defense
36,ARI,NEUTRAL ZONE INFRACTION,Jerome Boger,Defense
56,CHI,FALSE START,Jerome Boger,Offense
35,CHI,OFFENSIVE HOLDING,Jerome Boger,Defense
42,CHI,OFFENSIVE PASS INTERFERENCE,Jerome Boger,Offense
27,ARI,FALSE START,Jerome Boger,Offense
19,ARI,ENCROACHMENT,Jerome Boger,Defense
39,ARI,FALSE START,Bill Vinovich,Offense
85,CHI,NEUTRAL ZONE INFRACTION,Bill Vinovich,Defense
78,CHI,FALSE START,Bill Vinovich,Offense
93,ARI,ROUGHING THE PASSER,Bill Vinovich,Defense
57,ARI,DEFENSIVE OFFSIDE,Bill Vinovich,Defense
57,CHI,FALSE START,Bill Vinovich,Offense
41,ARI,UNNECESSARY ROUGHNESS,Bill Vinovich,Defense
29,CHI,DEFENSIVE OFFSIDE,Bill Vinovich,Defense
33,ARI,DELAY OF GAME,Bill Vinovich,Offense
79,ARI,ROUGHING THE PASSER,Bill Vinovich,Defense
98,CHI,ILLEGAL SHIFT,Bill Vinovich,Offense
35,CHI,ILLEGAL USE OF HANDS,Bill Vinovich,Defense
53,CHI,ILLEGAL BLOCK ABOVE THE WAIST,Bill Vinovich,Offense
33,CHI,ILLEGAL SHIFT,Bill Vinovich,Offense
27,ARI,DEFENSIVE HOLDING,Terry McAulay,Defense
56,ARI,FALSE START,Terry McAulay,Offense
32,ARI,ILLEGAL USE OF HANDS,Terry McAulay,Defense
39,CIN,ILLEGAL TOUCH PASS,Terry McAulay,Offense
30,CIN,ILLEGAL BLOCK ABOVE THE WAIST,Terry McAulay,Defense
91,CIN,OFFENSIVE HOLDING,Terry McAulay,Offense
37,ARI,ILLEGAL FORMATION,Terry McAulay,Offense
51,ARI,OFFENSIVE HOLDING,Terry McAulay,Offense
35,ARI,DEFENSIVE HOLDING,Terry McAulay,Defense
53,CIN,TAUNTING,Terry McAulay,Offense
22,CIN,UNNECESSARY ROUGHNESS,Terry McAulay,Defense
67,CIN,DELAY OF GAME,Terry McAulay,Offense
68,ARI,ILLEGAL USE OF HANDS,Terry McAulay,Defense
49,CIN,ILLEGAL USE OF HANDS,Terry McAulay,Defense
85,ARI,FALSE START,Terry McAulay,Offense
21,ARI,ILLEGAL CONTACT,Terry McAulay,Defense
72,CIN,UNSPORTSMANLIKE CONDUCT,Terry McAulay,Defense
21,CIN,DEFENSIVE PASS INTERFERENCE,Terry McAulay,Defense
36,CIN,UNNECESSARY ROUGHNESS,Terry McAulay,Offense
86,CLE,DEFENSIVE OFFSIDE,Walt Coleman,Defense
98,ARI,DEFENSIVE HOLDING,Walt Coleman,Defense
29,CLE,DELAY OF GAME,Walt Coleman,Offense
39,CLE,DEFENSIVE HOLDING,Walt Coleman,Defense
99,ARI,FALSE START,Walt Coleman,Offense
80,ARI,UNNECESSARY ROUGHNESS,Walt Coleman,Defense
50,ARI,FALSE START,Walt Coleman,Offense
20,ARI,ILLEGAL USE OF HANDS,Walt Coleman,Defense
39,CLE,ILLEGAL CONTACT,Walt Coleman,Defense
34,CLE,FALSE START,Walt Coleman,Offense
81,ARI,ILLEGAL SHIFT,Walt Coleman,Offense
30,ARI,OFFENSIVE HOLDING,Walt Coleman,Offense
78,CLE,FALSE START,Walt Coleman,Offense
21,ARI,ILLEGAL CONTACT,Walt Coleman,Defense
59,CLE,NEUTRAL ZONE INFRACTION,Walt Coleman,Defense
44,ARI,CHOP BLOCK,Craig Wrolstad,Offense
40,ARI,OFFENSIVE HOLDING,Craig Wrolstad,Offense
19,DAL,ILLEGAL USE OF HANDS,Craig Wrolstad,Defense
72,DAL,DEFENSIVE 12 ON-FIELD,Craig Wrolstad,Defense
17,DAL,OFFENSIVE HOLDING,Craig Wrolstad,Offense
67,ARI,FALSE START,Craig Wrolstad,Offense
38,ARI,DEFENSIVE PASS INTERFERENCE,Craig Wrolstad,Defense
89,DAL,DEFENSIVE PASS INTERFERENCE,Craig Wrolstad,Defense
19,ARI,ILLEGAL USE OF HANDS,Craig Wrolstad,Defense
70,DAL,FALSE START,Craig Wrolstad,Offense
24,DAL,TRIPPING,Craig Wrolstad,Offense
48,ARI,TRIPPING,Craig Wrolstad,Defense
20,DAL,ILLEGAL USE OF HANDS,Craig Wrolstad,Defense
25,DAL,DEFENSIVE HOLDING,Craig Wrolstad,Defense
90,ARI,OFFENSIVE HOLDING,Craig Wrolstad,Offense
90,DAL,DEFENSIVE HOLDING,Craig Wrolstad,Defense
41,ARI,OFFENSIVE HOLDING,Craig Wrolstad,Offense
45,DAL,FALSE START,Craig Wrolstad,Offense
47,DAL,FALSE START,Craig Wrolstad,Offense
25,DAL,ILLEGAL CONTACT,Craig Wrolstad,Defense
65,DAL,DEFENSIVE HOLDING,Craig Wrolstad,Defense
6,DAL,DEFENSIVE OFFSIDE,Craig Wrolstad,Defense
61,DAL,DEFENSIVE OFFSIDE,Craig Wrolstad,Defense
31,DAL,DEFENSIVE PASS INTERFERENCE,Craig Wrolstad,Defense
13,DAL,DEFENSIVE OFFSIDE,Craig Wrolstad,Defense
72,ARI,DEFENSIVE HOLDING,Craig Wrolstad,Defense
67,ARI,DEFENSIVE OFFSIDE,Craig Wrolstad,Defense
85,DAL,NEUTRAL ZONE INFRACTION,Craig Wrolstad,Defense
47,DAL,DEFENSIVE OFFSIDE,Craig Wrolstad,Defense
42,ARI,DEFENSIVE OFFSIDE,Craig Wrolstad,Defense
49,DEN,DEFENSIVE 12 ON-FIELD,NA,Defense
75,DEN,DEFENSIVE PASS INTERFERENCE,NA,Defense
91,ARI,FALSE START,NA,Offense
27,ARI,OFFENSIVE HOLDING,NA,Offense
10,ARI,ILLEGAL FORMATION,NA,Offense
16,ARI,OFFENSIVE HOLDING,NA,Offense
19,DEN,OFFENSIVE HOLDING,NA,Defense
