YardLine,PenaltyTeam,PenaltyType,Referee,TeamType
40,CIN,DEFENSIVE PASS INTERFERENCE,NA,Defense
32,BAL,ILLEGAL FORMATION,NA,Offense
24,BAL,OFFENSIVE HOLDING,NA,Offense
39,CIN,FALSE START,NA,Offense
35,BAL,PERSONAL FOUL,NA,Defense
76,BAL,PERSONAL FOUL,NA,Defense
77,CIN,OFFENSIVE HOLDING,NA,Offense
20,BAL,OFFENSIVE PASS INTERFERENCE,Clete Blakeman,Offense
33,CIN,OFFENSIVE HOLDING,Clete Blakeman,Offense
99,BAL,DEFENSIVE OFFSIDE,Clete Blakeman,Defense
37,CIN,OFFENSIVE HOLDING,Clete Blakeman,Offense
92,BAL,UNSPORTSMANLIKE CONDUCT,Clete Blakeman,Offense
62,BAL,FALSE START,Clete Blakeman,Offense
1,CIN,FALSE START,Clete Blakeman,Offense
82,BAL,FALSE START,Clete Blakeman,Offense
80,BAL,DEFENSIVE PASS INTERFERENCE,Clete Blakeman,Defense
35,CIN,OFFENSIVE HOLDING,Clete Blakeman,Offense
35,BAL,OFFENSIVE HOLDING,Clete Blakeman,Defense
33,CIN,ILLEGAL CONTACT,Clete Blakeman,Defense
21,BAL,NEUTRAL ZONE INFRACTION,Clete Blakeman,Defense
57,CIN,DEFENSIVE OFFSIDE,Clete Blakeman,Defense
62,CIN,ROUGHING THE PASSER,Walt Anderson,Defense
73,BAL,OFFENSIVE HOLDING,Walt Anderson,Offense
45,BAL,OFFENSIVE HOLDING,Walt Anderson,Offense
68,BAL,UNNECESSARY ROUGHNESS,Walt Anderson,Offense
51,CIN,INELIGIBLE DOWNFIELD PASS,Walt Anderson,Offense
24,CIN,DEFENSIVE HOLDING,Walt Anderson,Defense
49,BAL,INTENTIONAL GROUNDING,Walt Anderson,Offense
47,BAL,OFFENSIVE HOLDING,Walt Anderson,Offense
85,CIN,DELAY OF GAME,Walt Anderson,Offense
27,BAL,FACE MASK (15 YARDS),Walt Anderson,Offense
36,BAL,ILLEGAL BLINDSIDE BLOCK,Walt Anderson,Offense
30,BAL,OFFENSIVE HOLDING,Walt Anderson,Offense
90,CIN,ILLEGAL FORMATION,Walt Anderson,Offense
24,CIN,FALSE START,Walt Anderson,Offense
32,CIN,OFFENSIVE HOLDING,Walt Anderson,Offense
94,CIN,DELAY OF GAME,Walt Anderson,Offense
85,BAL,ILLEGAL USE OF HANDS,Walt Anderson,Defense
24,CIN,ILLEGAL CONTACT,Walt Anderson,Defense
85,BAL,DEFENSIVE OFFSIDE,Walt Anderson,Defense
65,BAL,FALSE START,Walt Anderson,Offense
80,BAL,DEFENSIVE PASS INTERFERENCE,Walt Anderson,Defense
31,BAL,ILLEGAL SHIFT,Walt Anderson,Offense
27,CIN,OFFENSIVE PASS INTERFERENCE,Walt Anderson,Offense
70,BAL,DEFENSIVE PASS INTERFERENCE,Walt Anderson,Defense
69,BAL,DEFENSIVE HOLDING,Walt Anderson,Defense
94,BAL,ILLEGAL FORMATION,Carl Cheffers,Offense
57,BAL,FALSE START,Carl Cheffers,Offense
44,CIN,FALSE START,Carl Cheffers,Offense
72,CIN,DELAY OF GAME,Carl Cheffers,Offense
96,CIN,DEFENSIVE HOLDING,Carl Cheffers,Defense
59,BAL,FALSE START,Carl Cheffers,Offense
37,BAL,OFFENSIVE HOLDING,Carl Cheffers,Defense
59,CIN,DELAY OF GAME,Carl Cheffers,Offense
5,CIN,DEFENSIVE PASS INTERFERENCE,Carl Cheffers,Defense
58,CIN,NEUTRAL ZONE INFRACTION,Carl Cheffers,Defense
54,BAL,INELIGIBLE DOWNFIELD PASS,Carl Cheffers,Offense
11,CIN,FALSE START,Carl Cheffers,Offense
50,BAL,ILLEGAL USE OF HANDS,Carl Cheffers,Defense
28,BAL,DEFENSIVE PASS INTERFERENCE,Carl Cheffers,Defense
42,CIN,OFFENSIVE HOLDING,Carl Cheffers,Offense
31,CIN,OFFENSIVE HOLDING,Carl Cheffers,Offense
33,CIN,FALSE START,Carl Cheffers,Offense
41,CIN,OFFENSIVE HOLDING,Carl Cheffers,Offense
82,CIN,FALSE START,Clete Blakeman,Offense
77,BAL,DEFENSIVE HOLDING,Clete Blakeman,Defense
70,BAL,ILLEGAL USE OF HANDS,Clete Blakeman,Defense
35,BAL,OFFENSIVE HOLDING,Clete Blakeman,Defense
23,BAL,OFFENSIVE HOLDING,Clete Blakeman,Offense
28,BAL,DELAY OF GAME,Clete Blakeman,Offense
24,BAL,UNNECESSARY ROUGHNESS,Clete Blakeman,Defense
20,BAL,OFFENSIVE PASS INTERFERENCE,Clete Blakeman,Offense
66,BAL,OFFENSIVE HOLDING,Clete Blakeman,Offense
91,BAL,UNNECESSARY ROUGHNESS,Clete Blakeman,Offense
58,BAL,ILLEGAL FORMATION,Clete Blakeman,Offense
25,BAL,ILLEGAL CONTACT,Clete Blakeman,Defense
23,CIN,OFFENSIVE HOLDING,Clete Blakeman,Offense
86,CIN,FALSE START,Pete Morelli,Offense
32,CIN,ILLEGAL MOTION,Pete Morelli,Offense
93,BAL,DEFENSIVE PASS INTERFERENCE,Pete Morelli,Defense
76,BAL,UNNECESSARY ROUGHNESS,Pete Morelli,Defense
47,BAL,INTENTIONAL GROUNDING,Pete Morelli,Offense
71,BAL,OFFENSIVE HOLDING,Pete Morelli,Offense
84,BAL,OFFENSIVE HOLDING,Pete Morelli,Offense
25,CIN,UNNECESSARY ROUGHNESS,Pete Morelli,Defense
53,CIN,OFFENSIVE HOLDING,Walt Coleman,Offense
9,CIN,FACE MASK (15 YARDS),Walt Coleman,Offense
70,CIN,DEFENSIVE PASS INTERFERENCE,Walt Coleman,Defense
38,CIN,OFFENSIVE HOLDING,Walt Coleman,Offense
25,CIN,FALSE START,Walt Coleman,Offense
85,CIN,DEFENSIVE HOLDING,Walt Coleman,Defense
78,BAL,OFFENSIVE HOLDING,Walt Coleman,Offense
30,BAL,OFFENSIVE HOLDING,Walt Coleman,Defense
48,BAL,ILLEGAL USE OF HANDS,Walt Coleman,Defense
42,BAL,ILLEGAL USE OF HANDS,Walt Coleman,Defense
49,BAL,OFFENSIVE HOLDING,Walt Coleman,Offense
35,CIN,ENCROACHMENT,Walt Coleman,Defense
40,CIN,OFFENSIVE HOLDING,Walt Coleman,Offense
28,CIN,UNNECESSARY ROUGHNESS,Walt Coleman,Defense
25,BAL,DELAY OF GAME,Walt Coleman,Offense
27,BAL,FALSE START,Walt Coleman,Offense
44,BAL,FACE MASK (15 YARDS),Walt Coleman,Defense
47,CIN,DEFENSIVE HOLDING,Walt Coleman,Defense
13,BAL,OFFENSIVE HOLDING,Walt Coleman,Offense
44,BAL,OFFENSIVE HOLDING,Walt Coleman,Offense
51,BAL,FALSE START,Walt Coleman,Offense
12,BAL,DELAY OF GAME,Walt Coleman,Offense
19,CIN,OFFENSIVE HOLDING,Ronald Torbert,Offense
49,CIN,OFFENSIVE HOLDING,Ronald Torbert,Offense
71,BAL,FALSE START,Ronald Torbert,Offense
48,BAL,DEFENSIVE HOLDING,Ronald Torbert,Defense
20,BAL,OFFENSIVE HOLDING,Ronald Torbert,Defense
22,BAL,OFFENSIVE HOLDING,Ronald Torbert,Offense
82,BAL,DEFENSIVE PASS INTERFERENCE,Ronald Torbert,Defense
21,CIN,OFFENSIVE HOLDING,Ronald Torbert,Offense
45,BAL,OFFENSIVE PASS INTERFERENCE,Ronald Torbert,Offense
33,BAL,DEFENSIVE PASS INTERFERENCE,Ronald Torbert,Defense
89,CIN,DEFENSIVE 12 ON-FIELD,Ronald Torbert,Defense
20,CIN,UNNECESSARY ROUGHNESS,Ronald Torbert,Defense
39,CIN,ILLEGAL BLOCK ABOVE THE WAIST,Ronald Torbert,Defense
53,CIN,ILLEGAL SHIFT,Ronald Torbert,Offense
27,CIN,UNNECESSARY ROUGHNESS,Ronald Torbert,Offense
29,BAL,FALSE START,Walt Anderson,Offense
26,BAL,FALSE START,Walt Anderson,Offense
92,CIN,DEFENSIVE PASS INTERFERENCE,Walt Anderson,Defense
30,CIN,TRIPPING,Walt Anderson,Offense
38,BAL,DEFENSIVE OFFSIDE,Walt Anderson,Defense
85,CIN,DELAY OF GAME,Walt Anderson,Offense
40,CIN,FALSE START,Walt Anderson,Offense
33,BAL,DEFENSIVE HOLDING,Walt Anderson,Defense
25,CIN,ROUGHING THE PASSER,Walt Anderson,Defense
91,CIN,ILLEGAL SHIFT,Walt Anderson,Offense
30,CIN,FALSE START,Walt Anderson,Offense
76,CIN,OFFENSIVE HOLDING,Walt Anderson,Offense
41,CIN,OFFENSIVE HOLDING,Walt Anderson,Offense
88,BAL,DEFENSIVE PASS INTERFERENCE,Walt Anderson,Defense
22,BAL,ROUGHING THE PASSER,Walt Anderson,Defense
84,BAL,FALSE START,Walt Anderson,Offense
69,CIN,DEFENSIVE PASS INTERFERENCE,Walt Anderson,Defense
85,BAL,ILLEGAL USE OF HANDS,Walt Anderson,Defense
29,CLE,DEFENSIVE HOLDING,NA,Defense
35,BAL,OFFENSIVE PASS INTERFERENCE,NA,Offense
85,BAL,FALSE START,NA,Offense
63,CLE,DEFENSIVE HOLDING,NA,Defense
59,BAL,DELAY OF GAME,NA,Offense
69,BAL,FALSE START,NA,Offense
99,CLE,DEFENSIVE 12 ON-FIELD,NA,Defense
64,CLE,DEFENSIVE PASS INTERFERENCE,NA,Defense
95,CLE,DEFENSIVE 12 ON-FIELD,NA,Defense
35,CLE,DEFENSIVE OFFSIDE,NA,Offense
42,CLE,ILLEGAL USE OF HANDS,NA,Offense
36,CLE,OFFENSIVE HOLDING,NA,Offense
38,CLE,ILLEGAL SHIFT,NA,Offense
96,BAL,DEFENSIVE PASS INTERFERENCE,NA,Defense
46,CLE,OFFENSIVE PASS INTERFERENCE,NA,Offense
43,CLE,FALSE START,NA,Offense
70,BAL,UNNECESSARY ROUGHNESS,NA,Defense
84,CLE,ILLEGAL FORWARD PASS,NA,Offense
45,CLE,OFFENSIVE HOLDING,Gene Steratore,Offense
62,BAL,DELAY OF GAME,Gene Steratore,Offense
10,BAL,PERSONAL FOUL,Gene Steratore,Defense
30,CLE,DEFENSIVE HOLDING,Gene Steratore,Defense
12,BAL,INVALID FAIR CATCH SIGNAL,Gene Steratore,Defense
31,BAL,OFFENSIVE HOLDING,Gene Steratore,Defense
93,BAL,OFFENSIVE HOLDING,Gene Steratore,Offense
14,CLE,DELAY OF GAME,Gene Steratore,Offense
28,BAL,DEFENSIVE OFFSIDE,Gene Steratore,Defense
34,BAL,INELIGIBLE DOWNFIELD PASS,Gene Steratore,Offense
26,CLE,OFFENSIVE HOLDING,Gene Steratore,Offense
54,CLE,ILLEGAL FORMATION,Gene Steratore,Offense
67,BAL,FALSE START,Gene Steratore,Offense
35,CLE,UNNECESSARY ROUGHNESS,Gene Steratore,Offense
41,CLE,ENCROACHMENT,Gene Steratore,Defense
35,BAL,OFFSIDE ON FREE KICK,Gene Steratore,Offense
90,CLE,DEFENSIVE PASS INTERFERENCE,Gene Steratore,Defense
25,BAL,FALSE START,Gene Steratore,Offense
30,BAL,DEFENSIVE HOLDING,Gene Steratore,Defense
90,BAL,ILLEGAL CONTACT,Jeff Triplette,Defense
43,CLE,DELAY OF GAME,Jeff Triplette,Offense
51,BAL,DEFENSIVE OFFSIDE,Jeff Triplette,Defense
12,BAL,DEFENSIVE OFFSIDE,Jeff Triplette,Defense
85,BAL,ILLEGAL USE OF HANDS,Jeff Triplette,Defense
72,BAL,ILLEGAL BLOCK ABOVE THE WAIST,Jeff Triplette,Offense
35,CLE,UNNECESSARY ROUGHNESS,Jeff Triplette,Offense
17,BAL,OFFENSIVE HOLDING,Jeff Triplette,Defense
38,CLE,UNSPORTSMANLIKE CONDUCT,Jeff Triplette,Defense
35,BAL,OFFENSIVE HOLDING,Jeff Triplette,Defense
98,CLE,UNNECESSARY ROUGHNESS,Jeff Triplette,Defense
34,BAL,ROUGHING THE PASSER,Jeff Triplette,Defense
20,CLE,ILLEGAL FORMATION,Jeff Triplette,Offense
24,CLE,UNNECESSARY ROUGHNESS,Jeff Triplette,Defense
99,CLE,DEFENSIVE OFFSIDE,Jeff Triplette,Defense
37,BAL,DEFENSIVE OFFSIDE,Jeff Triplette,Defense
35,BAL,OFFSIDE ON FREE KICK,Jeff Triplette,Offense
42,CLE,CHOP BLOCK,Jeff Triplette,Offense
41,BAL,ILLEGAL SHIFT,Jeff Triplette,Offense
20,BAL,UNNECESSARY ROUGHNESS,Jeff Triplette,Defense
53,CLE,ILLEGAL FORMATION,Jeff Triplette,Offense
91,BAL,OFFENSIVE HOLDING,Jeff Triplette,Offense
88,CLE,DELAY OF GAME,Jeff Triplette,Offense
37,BAL,DEFENSIVE HOLDING,Brad Allen,Defense
26,BAL,FALSE START,Brad Allen,Offense
21,BAL,OFFENSIVE HOLDING,Brad Allen,Defense
73,BAL,ILLEGAL USE OF HANDS,Brad Allen,Defense
29,BAL,DELAY OF GAME,Brad Allen,Offense
26,CLE,FALSE START,Brad Allen,Offense
66,BAL,OFFENSIVE HOLDING,Brad Allen,Offense
63,CLE,OFFENSIVE HOLDING,Brad Allen,Offense
39,BAL,OFFENSIVE HOLDING,Brad Allen,Offense
28,BAL,CHOP BLOCK,John Hussey,Offense
69,CLE,OFFENSIVE PASS INTERFERENCE,John Hussey,Offense
60,CLE,ROUGHING THE PASSER,John Hussey,Defense
59,BAL,NEUTRAL ZONE INFRACTION,John Hussey,Defense
33,BAL,ILLEGAL SHIFT,John Hussey,Offense
66,CLE,ILLEGAL CONTACT,John Hussey,Defense
35,CLE,INELIGIBLE DOWNFIELD PASS,John Hussey,Offense
74,BAL,ILLEGAL SHIFT,John Hussey,Offense
64,CLE,FALSE START,John Hussey,Offense
35,CLE,OFFENSIVE HOLDING,John Hussey,Defense
79,CLE,UNSPORTSMANLIKE CONDUCT,John Hussey,Offense
35,CLE,ILLEGAL TOUCH PASS,John Hussey,Offense
70,BAL,DEFENSIVE HOLDING,John Hussey,Defense
21,CLE,ILLEGAL CONTACT,Jerome Boger,Defense
29,BAL,OFFENSIVE HOLDING,Jerome Boger,Defense
32,CLE,ILLEGAL USE OF HANDS,Jerome Boger,Defense
62,BAL,ILLEGAL BLOCK ABOVE THE WAIST,Jerome Boger,Defense
70,BAL,OFFENSIVE HOLDING,Jerome Boger,Offense
15,BAL,DEFENSIVE OFFSIDE,Jerome Boger,Defense
42,CLE,ROUGHING THE PASSER,Jerome Boger,Defense
29,BAL,OFFENSIVE HOLDING,Jerome Boger,Offense
24,BAL,DEFENSIVE OFFSIDE,Jerome Boger,Defense
50,CLE,UNNECESSARY ROUGHNESS,Jerome Boger,Defense
40,BAL,DEFENSIVE PASS INTERFERENCE,Jerome Boger,Defense
74,CLE,OFFENSIVE HOLDING,Jerome Boger,Offense
22,BAL,DEFENSIVE OFFSIDE,Gene Steratore,Defense
7,CLE,FALSE START,Gene Steratore,Offense
32,CLE,UNNECESSARY ROUGHNESS,Gene Steratore,Defense
44,CLE,DEFENSIVE OFFSIDE,Gene Steratore,Defense
3,BAL,OFFENSIVE HOLDING,Gene Steratore,Defense
63,CLE,OFFENSIVE HOLDING,Gene Steratore,Offense
66,BAL,DEFENSIVE 12 ON-FIELD,Gene Steratore,Defense
35,CLE,ENCROACHMENT,Gene Steratore,Defense
60,CLE,FALSE START,Gene Steratore,Offense
50,BAL,OFFENSIVE HOLDING,Gene Steratore,Offense
15,CLE,DELAY OF GAME,Gene Steratore,Offense
51,BAL,NEUTRAL ZONE INFRACTION,Gene Steratore,Defense
15,CLE,ILLEGAL FORMATION,Gene Steratore,Offense
42,CLE,FALSE START,Gene Steratore,Offense
7,CLE,OFFENSIVE HOLDING,Gene Steratore,Offense
65,BAL,ILLEGAL USE OF HANDS,Gene Steratore,Defense
25,CLE,OFFENSIVE PASS INTERFERENCE,Gene Steratore,Offense
28,CLE,DELAY OF GAME,Gene Steratore,Offense
90,CLE,UNNECESSARY ROUGHNESS,Gene Steratore,Defense
21,BAL,DEFENSIVE HOLDING,Gene Steratore,Defense
63,BAL,DEFENSIVE 12 ON-FIELD,Clete Blakeman,Defense
38,CLE,DEFENSIVE OFFSIDE,Clete Blakeman,Defense
73,CLE,ENCROACHMENT,Clete Blakeman,Defense
38,BAL,OFFENSIVE HOLDING,Clete Blakeman,Offense
58,BAL,DEFENSIVE OFFSIDE,Clete Blakeman,Defense
90,CLE,DEFENSIVE OFFSIDE,Clete Blakeman,Defense
49,CLE,OFFENSIVE HOLDING,Clete Blakeman,Offense
62,CLE,ILLEGAL FORMATION,Clete Blakeman,Offense
30,CLE,FALSE START,Clete Blakeman,Offense
73,BAL,FALSE START,Clete Blakeman,Offense
4,BAL,DEFENSIVE PASS INTERFERENCE,Clete Blakeman,Defense
63,BAL,ROUGHING THE PASSER,Clete Blakeman,Defense
22,CLE,DELAY OF GAME,Clete Blakeman,Offense
17,BAL,ILLEGAL BLOCK ABOVE THE WAIST,Clete Blakeman,Defense
83,BAL,DEFENSIVE OFFSIDE,NA,Defense
53,BAL,ILLEGAL CONTACT,NA,Defense
23,CLE,OFFENSIVE HOLDING,NA,Offense
23,BAL,ILLEGAL BLOCK ABOVE THE WAIST,NA,Defense
31,BAL,OFFENSIVE HOLDING,NA,Defense
14,BAL,ROUGHING THE PASSER,NA,Defense
96,CLE,ILLEGAL USE OF HANDS,NA,Defense
25,CLE,DEFENSIVE OFFSIDE,NA,Defense
32,CLE,DEFENSIVE OFFSIDE,NA,Defense
49,CLE,OFFENSIVE HOLDING,NA,Defense
38,BAL,OFFENSIVE PASS INTERFERENCE,NA,Offense
47,BAL,ILLEGAL BLOCK ABOVE THE WAIST,NA,Offense
58,CLE,FALSE START,NA,Offense
30,CLE,OFFENSIVE HOLDING,NA,Offense
24,CLE,OFFENSIVE HOLDING,NA,Offense
8,CLE,OFFENSIVE HOLDING,NA,Offense
29,CLE,OFFENSIVE HOLDING,NA,Offense
25,CLE,ILLEGAL BLOCK ABOVE THE WAIST,NA,Offense
56,BAL,FALSE START,John Parry,Offense
35,BAL,ILLEGAL BLOCK ABOVE THE WAIST,John Parry,Defense
50,BAL,DEFENSIVE PASS INTERFERENCE,John Parry,Defense
38,DAL,OFFENSIVE HOLDING,John Parry,Offense
41,BAL,DEFENSIVE OFFSIDE,John Parry,Defense
25,BAL,OFFENSIVE HOLDING,John Parry,Offense
48,DAL,ILLEGAL BLOCK ABOVE THE WAIST,John Parry,Offense
46,BAL,NEUTRAL ZONE INFRACTION,John Parry,Defense
36,BAL,UNNECESSARY ROUGHNESS,John Parry,Offense
25,BAL,UNNECESSARY ROUGHNESS,John Parry,Offense
55,DAL,FALSE START,John Parry,Offense
59,DAL,ILLEGAL TOUCH KICK,John Parry,Offense
26,BAL,OFFENSIVE HOLDING,John Parry,Offense
35,BAL,OFFSIDE ON FREE KICK,John Parry,Offense
97,BAL,ROUGHING THE PASSER,John Parry,Defense
70,BAL,OFFENSIVE HOLDING,John Parry,Offense
63,DAL,FACE MASK (15 YARDS),John Parry,Defense
21,BAL,UNNECESSARY ROUGHNESS,Walt Coleman,Offense
36,BAL,FALSE START,Walt Coleman,Offense
51,DEN,FALSE START,Walt Coleman,Offense
31,BAL,ILLEGAL CONTACT,Walt Coleman,Defense
41,DEN,FACE MASK (15 YARDS),Walt Coleman,Defense
37,BAL,ILLEGAL USE OF HANDS,Walt Coleman,Defense
22,BAL,OFFENSIVE PASS INTERFERENCE,Walt Coleman,Offense
50,DEN,DEFENSIVE HOLDING,Walt Coleman,Defense
26,DEN,OFFENSIVE HOLDING,Walt Coleman,Offense
72,DEN,FALSE START,Walt Coleman,Offense
44,DEN,FALSE START,Walt Coleman,Offense
43,DEN,OFFENSIVE PASS INTERFERENCE,Walt Coleman,Offense
22,BAL,DEFENSIVE OFFSIDE,Walt Coleman,Defense
36,BAL,UNNECESSARY ROUGHNESS,Walt Coleman,Defense
28,DEN,DEFENSIVE PASS INTERFERENCE,Walt Coleman,Defense
46,DEN,OFFENSIVE HOLDING,Walt Coleman,Offense
72,BAL,DEFENSIVE HOLDING,Walt Coleman,Defense
87,DEN,DEFENSIVE OFFSIDE,Walt Coleman,Defense
16,BAL,OFFENSIVE HOLDING,Walt Coleman,Offense
55,BAL,FALSE START,Walt Coleman,Offense
35,DEN,OFFENSIVE HOLDING,Gene Steratore,Defense
24,BAL,NEUTRAL ZONE INFRACTION,Gene Steratore,Defense
82,DEN,DEFENSIVE PASS INTERFERENCE,Gene Steratore,Defense
36,BAL,ENCROACHMENT,Gene Steratore,Defense
24,DEN,ILLEGAL BLINDSIDE BLOCK,Gene Steratore,Defense
42,DEN,DELAY OF GAME,Gene Steratore,Offense
42,DEN,FALSE START,Gene Steratore,Offense
67,DEN,FALSE START,Gene Steratore,Offense
48,BAL,DEFENSIVE HOLDING,Gene Steratore,Defense
21,DEN,FALSE START,Gene Steratore,Offense
40,DEN,FALSE START,Gene Steratore,Offense
75,DEN,DISQUALIFICATION,Ronald Torbert,Offense
60,BAL,DEFENSIVE HOLDING,Ronald Torbert,Defense
95,DEN,OFFENSIVE HOLDING,Ronald Torbert,Offense
35,BAL,ILLEGAL FORMATION,Ronald Torbert,Offense
50,DEN,OFFENSIVE HOLDING,Ronald Torbert,Offense
35,DEN,DEFENSIVE OFFSIDE,Ronald Torbert,Defense
70,DEN,OFFENSIVE HOLDING,Ronald Torbert,Offense
99,BAL,FALSE START,Ronald Torbert,Offense
71,BAL,FALSE START,Ronald Torbert,Offense
85,BAL,ILLEGAL BLOCK ABOVE THE WAIST,Ronald Torbert,Defense
73,DEN,UNNECESSARY ROUGHNESS,Ronald Torbert,Offense
94,DEN,OFFENSIVE TOO MANY MEN ON FIELD,Ronald Torbert,Offense
38,DEN,DEFENSIVE OFFSIDE,Ronald Torbert,Defense
85,DEN,ILLEGAL USE OF HANDS,Ronald Torbert,Defense
35,DEN,UNNECESSARY ROUGHNESS,Ronald Torbert,Offense
59,BAL,DEFENSIVE OFFSIDE,Ronald Torbert,Defense
69,DEN,OFFENSIVE HOLDING,Ronald Torbert,Offense
42,BAL,DEFENSIVE PASS INTERFERENCE,Ronald Torbert,Defense
75,DEN,ILLEGAL BLOCK ABOVE THE WAIST,Ronald Torbert,Defense
31,DEN,NEUTRAL ZONE INFRACTION,Ronald Torbert,Defense
94,BAL,OFFENSIVE HOLDING,Carl Cheffers,Offense
66,DET,DEFENSIVE PASS INTERFERENCE,Carl Cheffers,Defense
35,DET,OFFENSIVE 12 ON-FIELD,Carl Cheffers,Offense
24,BAL,ENCROACHMENT,Carl Cheffers,Defense
55,DET,NEUTRAL ZONE INFRACTION,Carl Cheffers,Defense
33,BAL,FALSE START,Carl Cheffers,Offense
29,DET,FACE MASK (15 YARDS),Carl Cheffers,Defense
27,BAL,FALSE START,Carl Cheffers,Offense
56,DET,UNNECESSARY ROUGHNESS,Carl Cheffers,Defense
40,DET,NEUTRAL ZONE INFRACTION,Carl Cheffers,Defense
20,DET,OFFENSIVE HOLDING,Carl Cheffers,Offense
25,DET,OFFENSIVE HOLDING,Carl Cheffers,Defense
33,BAL,NEUTRAL ZONE INFRACTION,Carl Cheffers,Defense
17,BAL,DEFENSIVE OFFSIDE,Carl Cheffers,Defense
46,BAL,OFFENSIVE HOLDING,Carl Cheffers,Offense
49,BAL,UNNECESSARY ROUGHNESS,Carl Cheffers,Defense
20,BAL,UNNECESSARY ROUGHNESS,Carl Cheffers,Defense
54,BAL,DEFENSIVE 12 ON-FIELD,Jerome Boger,Defense
25,BAL,DEFENSIVE PASS INTERFERENCE,Jerome Boger,Defense
11,DET,OFFENSIVE HOLDING,Jerome Boger,Offense
31,BAL,ROUGHING THE PASSER,Jerome Boger,Defense
21,DET,UNNECESSARY ROUGHNESS,Jerome Boger,Offense
89,DET,DEFENSIVE HOLDING,Jerome Boger,Defense
64,BAL,ILLEGAL BLOCK ABOVE THE WAIST,Jerome Boger,Offense
30,DET,NEUTRAL ZONE INFRACTION,Jerome Boger,Defense
49,DET,OFFENSIVE HOLDING,Jerome Boger,Offense
59,DET,DELAY OF GAME,Jerome Boger,Offense
75,DET,ENCROACHMENT,Jerome Boger,Defense
40,GB,ROUGHING THE PASSER,Jeff Triplette,Defense
71,BAL,OFFENSIVE HOLDING,Jeff Triplette,Offense
71,GB,UNNECESSARY ROUGHNESS,Jeff Triplette,Defense
52,GB,INTENTIONAL GROUNDING,Jeff Triplette,Offense
60,GB,TRIPPING,Jeff Triplette,Defense
90,BAL,NEUTRAL ZONE INFRACTION,Jeff Triplette,Defense
42,GB,FALSE START,Jeff Triplette,Offense
16,BAL,UNSPORTSMANLIKE CONDUCT,Jeff Triplette,Offense
20,BAL,OFFENSIVE HOLDING,Walt Coleman,Offense
63,HOU,DELAY OF GAME,Walt Coleman,Offense
80,BAL,DEFENSIVE OFFSIDE,Walt Coleman,Defense
65,HOU,ROUGHING THE PASSER,Walt Coleman,Defense
91,HOU,PERSONAL FOUL,Walt Coleman,Defense
20,BAL,OFFENSIVE HOLDING,Walt Coleman,Offense
8,BAL,INTENTIONAL GROUNDING,Walt Coleman,Offense
16,BAL,OFFENSIVE PASS INTERFERENCE,Walt Coleman,Offense
53,BAL,FALSE START,Walt Coleman,Offense
82,BAL,DEFENSIVE OFFSIDE,Walt Coleman,Defense
91,HOU,OFFENSIVE HOLDING,Walt Coleman,Offense
21,HOU,ROUGHING THE PASSER,Walt Coleman,Defense
87,HOU,FALSE START,Walt Coleman,Offense
29,BAL,OFFENSIVE HOLDING,Walt Coleman,Offense
84,HOU,FALSE START,Walt Coleman,Offense
10,HOU,ILLEGAL BLOCK ABOVE THE WAIST,Walt Coleman,Offense
24,BAL,UNNECESSARY ROUGHNESS,Walt Coleman,Defense
98,HOU,OFFENSIVE PASS INTERFERENCE,Walt Coleman,Offense
42,BAL,DEFENSIVE OFFSIDE,Walt Coleman,Defense
73,BAL,ROUGHING THE PASSER,Brad Allen,Defense
61,BAL,DEFENSIVE PASS INTERFERENCE,Brad Allen,Defense
77,BAL,DEFENSIVE PASS INTERFERENCE,Brad Allen,Defense
54,BAL,DEFENSIVE HOLDING,Brad Allen,Defense
31,BAL,OFFENSIVE HOLDING,Brad Allen,Offense
9,BAL,DEFENSIVE 12 ON-FIELD,Brad Allen,Defense
37,BAL,UNNECESSARY ROUGHNESS,Brad Allen,Defense
83,HOU,DELAY OF GAME,Brad Allen,Offense
26,HOU,DEFENSIVE HOLDING,Brad Allen,Defense
50,HOU,DEFENSIVE HOLDING,Brad Allen,Defense
59,HOU,NEUTRAL ZONE INFRACTION,Brad Allen,Defense
20,BAL,DEFENSIVE HOLDING,Brad Allen,Defense
50,BAL,DEFENSIVE HOLDING,Brad Allen,Defense
51,BAL,OFFENSIVE HOLDING,Brad Allen,Offense
87,HOU,OFFENSIVE HOLDING,Brad Allen,Offense
40,HOU,FALSE START,Brad Allen,Offense
16,BAL,ILLEGAL CONTACT,Walt Anderson,Defense
18,IND,DEFENSIVE PASS INTERFERENCE,Walt Anderson,Defense
24,BAL,ILLEGAL USE OF HANDS,Walt Anderson,Offense
64,BAL,DEFENSIVE HOLDING,Walt Anderson,Defense
11,BAL,DEFENSIVE OFFSIDE,Walt Anderson,Defense
55,IND,FALSE START,Walt Anderson,Offense
20,IND,OFFENSIVE HOLDING,Walt Anderson,Offense
16,BAL,ILLEGAL USE OF HANDS,Walt Anderson,Offense
17,BAL,OFFENSIVE HOLDING,Walt Anderson,Offense
42,IND,OFFENSIVE HOLDING,Walt Anderson,Offense
75,BAL,DEFENSIVE HOLDING,Walt Anderson,Defense
67,BAL,DEFENSIVE HOLDING,Walt Anderson,Defense
26,IND,DEFENSIVE PASS INTERFERENCE,Walt Anderson,Defense
94,IND,OFFENSIVE PASS INTERFERENCE,Walt Anderson,Offense
