Date,Tm,Opp,Pos,PtsO,Pen,Yds,Pts,Pen,Yds
December 5 2004,Cleveland Browns,New England Patriots,Side Judge,42,7,60,15,7,84
December 12 2004,Baltimore Ravens,New York Giants,Side Judge,14,9,65,37,6,86
December 19 2004,Cincinnati Bengals,Buffalo Bills,Side Judge,33,4,37,17,7,62
December 25 2004,Tennessee Titans,Denver Broncos,Side Judge,37,2,45,16,3,16
January 2 2005,Carolina Panthers,New Orleans Saints,Side Judge,21,8,87,18,6,45
January 16 2005,New England Patriots,Indianapolis Colts,Side Judge,3,4,44,20,5,35
January 23 2005,Philadelphia Eagles,Atlanta Falcons,Side Judge,10,5,24,27,6,59
September 11 2005,Buffalo Bills,Houston Texans,Side Judge,7,6,38,22,10,71
September 18 2005,New York Jets,Miami Dolphins,Side Judge,7,10,88,17,5,40
September 25 2005,Green Bay Packers,Tampa Bay Buccaneers,Side Judge,17,8,103,16,8,65
October 9 2005,St. Louis Rams,Seattle Seahawks,Side Judge,37,7,50,31,7,74
October 16 2005,Tennessee Titans,Cincinnati Bengals,Side Judge,31,4,32,23,5,69
October 23 2005,Philadelphia Eagles,San Diego Chargers,Side Judge,17,9,72,20,10,72
October 30 2005,New England Patriots,Buffalo Bills,Side Judge,16,12,74,21,7,57
November 13 2005,Carolina Panthers,New York Jets,Side Judge,3,5,50,30,3,25
November 20 2005,Baltimore Ravens,Pittsburgh Steelers,Side Judge,13,10,62,16,11,70
November 27 2005,Oakland Raiders,Miami Dolphins,Side Judge,33,7,70,21,13,90
December 4 2005,Cleveland Browns,Jacksonville Jaguars,Side Judge,20,5,50,14,7,97
December 12 2005,Atlanta Falcons,New Orleans Saints,Side Judge,17,10,107,36,9,74
December 18 2005,Washington Redskins,Dallas Cowboys,Side Judge,7,9,56,35,7,55
December 24 2005,St. Louis Rams,San Francisco 49ers,Side Judge,24,6,39,20,4,24
January 1 2006,Indianapolis Colts,Arizona Cardinals,Side Judge,13,12,98,17,7,50
January 14 2006,Seattle Seahawks,Washington Redskins,Side Judge,10,7,50,20,2,10
September 10 2006,Tampa Bay Buccaneers,Baltimore Ravens,Side Judge,27,4,25,0,3,21
September 17 2006,Denver Broncos,Kansas City Chiefs,Side Judge,6,4,26,9,0,0
September 24 2006,Miami Dolphins,Tennessee Titans,Side Judge,10,6,47,13,5,29
October 1 2006,Buffalo Bills,Minnesota Vikings,Side Judge,12,12,78,17,15,104
October 8 2006,Green Bay Packers,St. Louis Rams,Side Judge,23,10,78,20,4,41
October 15 2006,Tampa Bay Buccaneers,Cincinnati Bengals,Side Judge,13,10,84,14,9,75
October 29 2006,Chicago Bears,San Francisco 49ers,Side Judge,10,5,38,41,5,49
November 5 2006,New England Patriots,Indianapolis Colts,Side Judge,27,7,68,20,8,81
November 12 2006,Philadelphia Eagles,Washington Redskins,Side Judge,3,8,58,27,7,65
November 20 2006,Jacksonville Jaguars,New York Giants,Side Judge,10,5,35,26,9,65
November 23 2006,Detroit Lions,Miami Dolphins,Side Judge,27,11,100,10,7,55
December 3 2006,St. Louis Rams,Arizona Cardinals,Side Judge,34,11,107,20,10,126
December 10 2006,Cincinnati Bengals,Oakland Raiders,Side Judge,10,6,38,27,5,40
December 17 2006,Carolina Panthers,Pittsburgh Steelers,Side Judge,37,2,10,3,8,65
December 24 2006,Seattle Seahawks,San Diego Chargers,Side Judge,20,10,85,17,6,50
February 4 2007,Indianapolis Colts,Chicago Bears,Side Judge,17,4,35,29,6,40
September 9 2007,Minnesota Vikings,Atlanta Falcons,Referee,3,6,40,24,4,35
September 16 2007,Carolina Panthers,Houston Texans,Referee,34,5,40,21,5,35
September 23 2007,Oakland Raiders,Cleveland Browns,Referee,24,9,64,26,7,55
September 30 2007,Buffalo Bills,New York Jets,Referee,14,9,66,17,6,38
October 14 2007,Kansas City Chiefs,Cincinnati Bengals,Referee,20,6,59,27,9,55
October 21 2007,Detroit Lions,Tampa Bay Buccaneers,Referee,16,7,60,23,4,23
October 28 2007,San Francisco 49ers,New Orleans Saints,Referee,31,4,25,10,7,66
November 4 2007,Indianapolis Colts,New England Patriots,Referee,24,10,146,20,4,25
November 11 2007,Washington Redskins,Philadelphia Eagles,Referee,33,5,38,25,11,74
November 18 2007,Seattle Seahawks,Chicago Bears,Referee,23,6,40,30,2,20
November 25 2007,Cincinnati Bengals,Tennessee Titans,Referee,6,6,55,35,4,35
November 29 2007,Dallas Cowboys,Green Bay Packers,Referee,27,9,142,37,10,65
December 9 2007,Jacksonville Jaguars,Carolina Panthers,Referee,6,5,50,37,6,40
December 16 2007,Miami Dolphins,Baltimore Ravens,Referee,16,1,5,22,4,25
December 24 2007,San Diego Chargers,Denver Broncos,Referee,3,4,40,23,6,42
September 7 2008,Indianapolis Colts,Chicago Bears,Referee,29,7,60,13,6,40
September 14 2008,New York Jets,New England Patriots,Referee,19,2,10,10,6,60
September 21 2008,Minnesota Vikings,Carolina Panthers,Referee,10,12,67,20,9,100
September 28 2008,Jacksonville Jaguars,Houston Texans,Referee,27,2,15,30,2,27
